City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
1,Robertsport,LR,77.65,6.7533,-11.3686,light rain,Kwepunha Retreat
2,Dhidhdhoo,MV,82.09,6.8833,73.1,overcast clouds,Dhidhoo beach
3,Kapaa,US,82.72,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
5,Trairi,BR,78.24,-3.2778,-39.2689,broken clouds,janelas do mar
9,Butaritari,KI,82.44,3.0707,172.7902,light rain,Isles Sunset Lodge
10,Pemangkat,ID,83.68,1.1667,108.9667,clear sky,Ramah Kost KITA
11,Ayame,CI,72.64,5.6083,-3.1563,light rain,Hotel Bossan
18,Oshawa,CA,70.21,43.9001,-78.8496,haze,Comfort Inn
25,Rikitea,PF,74.39,-23.1203,-134.9692,few clouds,People ThankYou
29,Xining,CN,75.79,36.6167,101.7667,clear sky,Super Leisure Hotel
31,Yellowknife,CA,72.12,62.456,-114.3525,broken clouds,The Explorer Hotel
33,Atambua,ID,75.78,-9.1061,124.8925,overcast clouds,Kost Alfa Flat
34,Hilo,US,86.29,19.7297,-155.09,clear sky,Hilo Hawaiian Hotel
35,Majene,ID,82.09,-3.5403,118.9707,scattered clouds,Kost Putri RABBANI
42,Aneho,TG,77.2,6.2333,1.6,scattered clouds,Hotel La Linette
45,Arraial Do Cabo,BR,70.09,-22.9661,-42.0278,clear sky,Pousada Porto Praia
48,Georgetown,MY,85.93,5.4112,100.3354,few clouds,Cititel Penang
50,Rock Sound,BS,81.52,24.9,-76.2,scattered clouds,Pink Corral Bay Property
51,Vaini,TO,77.16,-21.2,-175.2,scattered clouds,Keleti Beach Resort
56,Avarua,CK,75.25,-21.2078,-159.775,scattered clouds,Paradise Inn
58,Maine-Soroa,NE,85.89,13.2114,12.0241,scattered clouds,Complexe
63,Sao Joao Da Barra,BR,71.1,-21.6403,-41.0511,clear sky,Pousada Porto De Canoas
65,Yarada,IN,82.72,17.65,83.2667,drizzle,Yarada Jungle Beach Resorts
66,Nikki,BJ,72.66,9.9401,3.2108,broken clouds,Monnon
67,Komsomolskiy,UZ,83.12,40.4272,71.7189,clear sky,Ikathouse
68,Victoria,HK,88.97,22.2855,114.1577,overcast clouds,Mini Central
76,Tamandare,BR,75.11,-8.7597,-35.1047,clear sky,Pousada 100 Passos
77,Boyuibe,BO,70.95,-20.4167,-63.2833,broken clouds,Residencial Eluzai
83,Atuona,PF,77.72,-9.8,-139.0333,few clouds,Villa Enata
84,Shache,CN,84.47,38.4167,77.2406,clear sky,Delong Hotel
94,Bethel,US,76.87,41.3712,-73.414,clear sky,Courtyard by Marriott Danbury
101,Katsuura,JP,76.55,35.1333,140.3,overcast clouds,Katsuura Hotel Mikazuki
106,Pangobilian,PH,84.97,8.8011,117.8594,moderate rain,Sir Brooke's Resort
108,Hithadhoo,MV,82.06,-0.6,73.0833,broken clouds,Scoop Guest House
112,Yumen,CN,73.9,40.2833,97.2,clear sky,
115,North Platte,US,81.12,41.1239,-100.7654,clear sky,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
118,Vanavara,RU,71.98,60.34,102.2797,clear sky,
120,Dickinson,US,87.89,29.4608,-95.0513,few clouds,Hampton Inn & Suites Houston/League City
124,Maragogi,BR,75.02,-9.0122,-35.2225,clear sky,Salinas do Maragogi All Inclusive Resort
126,Pagudpud,PH,87.35,18.5616,120.7868,scattered clouds,Saud Beach Resort and Hotel - 2
129,Lethem,GY,76.64,3.3803,-59.7968,light rain,Savannah Inn
134,Veraval,IN,82.44,20.9,70.3667,heavy intensity rain,Lords Inn Somnath
136,Touros,BR,74.07,-5.1989,-35.4608,broken clouds,INN NEW HORIZON
