City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coxim,BR,-18.5067,-54.76,67.78,40,1,4.76,clear sky
1,Robertsport,LR,6.7533,-11.3686,77.65,83,66,8.12,light rain
2,Dhidhdhoo,MV,6.8833,73.1,82.09,81,100,16.2,overcast clouds
3,Kapaa,US,22.0752,-159.319,82.72,73,20,12.66,light rain
4,Boa Viagem,BR,-5.1275,-39.7322,69.06,68,1,1.95,clear sky
5,Trairi,BR,-3.2778,-39.2689,78.24,78,63,12.03,broken clouds
6,Port Hardy,CA,50.6996,-127.4199,60.98,88,75,4.61,broken clouds
7,Kodiak,US,57.79,-152.4072,56.71,88,100,12.66,light rain
8,Krasnozerskoye,RU,53.9828,79.2374,62.8,81,99,7.61,overcast clouds
9,Butaritari,KI,3.0707,172.7902,82.44,75,94,21.32,light rain
10,Pemangkat,ID,1.1667,108.9667,83.68,67,8,5.61,clear sky
11,Ayame,CI,5.6083,-3.1563,72.64,97,98,1.79,light rain
12,Revelstoke,CA,50.9832,-118.2023,64.42,68,75,2.3,broken clouds
13,Kamwenge,UG,0.1866,30.4539,62.64,64,35,1.59,scattered clouds
14,Albany,US,42.6001,-73.9662,68.65,82,16,3.94,few clouds
15,Busselton,AU,-33.65,115.3333,52.77,82,100,10.67,overcast clouds
16,Klaksvik,FO,62.2266,-6.589,45.52,84,99,9.93,overcast clouds
17,Mount Isa,AU,-20.7333,139.5,64.17,42,0,13.8,clear sky
18,Oshawa,CA,43.9001,-78.8496,70.21,82,0,0.0,haze
19,Concepcion,CL,-36.827,-73.0498,44.4,93,40,1.14,scattered clouds
20,Kautokeino,NO,69.0125,23.0412,48.94,83,91,7.72,overcast clouds
21,Chuy,UY,-33.6971,-53.4616,59.88,98,100,10.58,overcast clouds
22,Adrar,MR,20.5022,-10.0711,95.43,10,11,5.14,few clouds
23,Bredasdorp,ZA,-34.5322,20.0403,46.26,79,16,5.23,few clouds
24,Carnarvon,AU,-24.8667,113.6333,66.78,25,0,10.76,clear sky
25,Rikitea,PF,-23.1203,-134.9692,74.39,75,21,18.01,few clouds
26,Saldanha,ZA,-33.0117,17.9442,41.05,85,4,9.26,clear sky
27,Lavrentiya,RU,65.5833,-171.0,50.2,83,100,5.17,overcast clouds
28,Severo-Kurilsk,RU,50.6789,156.125,56.52,64,100,10.27,overcast clouds
29,Xining,CN,36.6167,101.7667,75.79,42,5,2.13,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,28.51,86,0,8.05,clear sky
31,Yellowknife,CA,62.456,-114.3525,72.12,40,75,8.05,broken clouds
32,Tete,MZ,-16.1564,33.5867,62.51,84,0,3.49,clear sky
33,Atambua,ID,-9.1061,124.8925,75.78,57,100,1.99,overcast clouds
34,Hilo,US,19.7297,-155.09,86.29,54,0,8.05,clear sky
35,Majene,ID,-3.5403,118.9707,82.09,73,27,8.84,scattered clouds
36,Isiro,CD,2.7739,27.616,64.53,93,29,1.36,scattered clouds
37,Mataura,NZ,-46.1927,168.8643,47.48,66,100,3.91,overcast clouds
38,Muros,ES,42.7762,-9.0603,67.08,71,0,17.07,clear sky
39,Bluff,NZ,-46.6,168.3333,47.8,71,100,4.16,overcast clouds
40,Hualmay,PE,-11.0964,-77.6139,61.16,83,67,3.96,broken clouds
41,Dikson,RU,73.5069,80.5464,33.17,87,13,3.96,few clouds
42,Aneho,TG,6.2333,1.6,77.2,88,47,9.64,scattered clouds
43,Geraldton,AU,-28.7667,114.6,59.41,72,0,13.8,clear sky
44,Bahia Blanca,AR,-38.7196,-62.2724,51.08,28,50,17.67,scattered clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,70.09,86,0,24.11,clear sky
46,Pevek,RU,69.7008,170.3133,33.82,86,41,11.05,scattered clouds
47,Santa Helena De Goias,BR,-17.8136,-50.5969,66.54,38,22,2.08,few clouds
