City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-07-03 04:58:00,-46.6,168.3333,51.8,76,58,32.88
1,Port Lincoln,AU,2022-07-03 04:58:01,-34.7333,135.8667,54.1,62,100,9.66
2,Khor,RU,2022-07-03 04:58:01,47.8861,134.9464,78.15,80,100,7.72
3,Atuona,PF,2022-07-03 04:58:02,-9.8,-139.0333,78.33,80,6,16.26
4,Vaini,TO,2022-07-03 04:58:02,-21.2,-175.2,73.56,78,75,11.5
5,Sambava,MG,2022-07-03 04:58:02,-14.2667,50.1667,70.52,82,85,18.86
6,Saskylakh,RU,2022-07-03 04:58:03,71.9167,114.0833,68.99,35,2,11.88
7,Busselton,AU,2022-07-03 04:58:03,-33.65,115.3333,59.58,55,0,10.42
8,Maraba,BR,2022-07-03 04:58:04,-5.3686,-49.1178,78.98,100,75,0.0
9,East London,ZA,2022-07-03 04:58:04,-33.0153,27.9116,61.74,77,0,6.91
10,Dedza,MW,2022-07-03 04:58:05,-14.3779,34.3332,50.2,87,4,2.21
11,Guerrero Negro,MX,2022-07-03 04:58:05,27.9769,-114.0611,68.0,81,0,17.9
12,Tasiilaq,GL,2022-07-03 04:58:06,65.6145,-37.6368,34.86,89,31,6.26
13,Rikitea,PF,2022-07-03 04:58:06,-23.1203,-134.9692,74.73,75,10,21.16
14,Hobart,AU,2022-07-03 04:57:34,-42.8794,147.3294,58.23,67,20,9.22
15,Punta Arenas,CL,2022-07-03 04:58:07,-53.15,-70.9167,33.91,93,75,12.66
16,Bara,NG,2022-07-03 04:58:07,10.3744,10.7288,72.77,88,90,5.82
17,Albany,US,2022-07-03 04:56:08,42.6001,-73.9662,63.45,78,77,3.96
18,Bol,TD,2022-07-03 04:58:08,13.4586,14.7147,79.3,80,100,12.35
19,Lagoa,PT,2022-07-03 04:58:08,39.05,-27.9833,64.69,86,70,12.24
20,Lazaro Cardenas,MX,2022-07-03 04:58:09,17.9583,-102.2,79.86,83,81,3.22
21,Ushuaia,AR,2022-07-03 04:58:09,-54.8,-68.3,38.86,81,75,13.8
22,Bilma,NE,2022-07-03 04:58:10,18.6853,12.9164,85.12,13,31,5.35
23,Vestmannaeyjar,IS,2022-07-03 04:58:10,63.4427,-20.2734,50.7,86,43,19.66
24,Terney,RU,2022-07-03 04:58:10,45.0503,136.6092,80.71,60,99,9.44
25,Taoudenni,ML,2022-07-03 04:58:11,22.6783,-3.9836,92.28,23,1,9.66
26,Itarema,BR,2022-07-03 04:58:11,-2.9248,-39.9167,75.31,88,8,13.13
27,Margosatubig,PH,2022-07-03 04:58:12,7.5777,123.1658,85.95,75,55,3.09
28,Ulaangom,MN,2022-07-03 04:58:12,49.9811,92.0667,68.79,35,100,8.41
29,Kilindoni,TZ,2022-07-03 04:58:13,-7.9139,39.6668,75.06,76,38,15.93
30,Qaanaaq,GL,2022-07-03 04:58:13,77.484,-69.3632,37.02,99,100,7.4
31,Hilo,US,2022-07-03 04:57:08,19.7297,-155.09,75.61,87,75,5.75
32,Saldanha,ZA,2022-07-03 04:58:14,-33.0117,17.9442,53.65,78,97,9.19
33,Pisco,PE,2022-07-03 04:58:14,-13.7,-76.2167,61.02,88,100,5.75
34,Suratgarh,IN,2022-07-03 04:58:15,29.3167,73.9,94.98,50,50,7.07
35,Sidrolandia,BR,2022-07-03 04:58:15,-20.9319,-54.9614,68.77,51,0,4.21
36,Te Anau,NZ,2022-07-03 04:58:15,-45.4167,167.7167,47.64,82,78,7.27
37,Sao Filipe,CV,2022-07-03 04:58:16,14.8961,-24.4956,72.57,76,10,12.73
38,Yankton,US,2022-07-03 04:57:40,42.8711,-97.3973,77.11,71,15,8.41
39,Buala,SB,2022-07-03 04:58:16,-8.145,159.5921,84.67,69,14,9.57
40,Kaitangata,NZ,2022-07-03 04:58:17,-46.2817,169.8464,52.07,64,38,13.09
41,Yar-Sale,RU,2022-07-03 04:58:17,66.8333,70.8333,46.94,64,98,19.77
42,Castro,BR,2022-07-03 04:58:17,-24.7911,-50.0119,56.16,72,5,4.41
43,Ponta Do Sol,PT,2022-07-03 04:58:18,32.6667,-17.1,69.01,78,47,4.03
44,Mimoso Do Sul,BR,2022-07-03 04:58:18,-21.0642,-41.3664,64.15,80,0,4.18
45,Mataura,NZ,2022-07-03 04:58:19,-46.1927,168.8643,51.48,70,54,9.48
46,Saint-Philippe,RE,2022-07-03 04:59:19,-21.3585,55.7679,72.99,70,56,14.47
47,Acapulco,MX,2022-07-03 04:54:34,16.8634,-99.8901,80.92,84,77,7.45
48,Ushibuka,JP,2022-07-03 04:59:20,32.1906,130.0228,77.32,86,100,15.61
49,Arraial Do Cabo,BR,2022-07-03 04:59:20,-22.9661,-42.0278,69.44,86,0,18.52
50,Mount Gambier,AU,2022-07-03 04:57:29,-37.8333,140.7667,53.15,59,93,8.68
51,Bengkulu,ID,2022-07-03 04:59:21,-3.8004,102.2655,83.52,64,81,5.3
52,Hithadhoo,MV,2022-07-03 04:59:21,-0.6,73.0833,84.22,71,99,9.62
53,Kapaa,US,2022-07-03 04:59:22,22.0752,-159.319,79.12,81,75,16.11
54,Hermanus,ZA,2022-07-03 04:59:22,-34.4187,19.2345,55.8,80,30,12.62
55,Turukhansk,RU,2022-07-03 04:59:22,65.8167,87.9833,56.48,88,100,7.61
56,Muisne,EC,2022-07-03 04:59:23,0.6,-80.0333,74.57,87,76,8.84
57,Corinto,GR,2022-07-03 04:59:23,37.9407,22.9573,83.41,47,0,1.01
58,Casino,AU,2022-07-03 04:59:24,-28.8667,153.05,68.77,64,2,1.92
59,Jesus,PY,2022-07-03 04:59:24,-27.05,-55.7833,68.81,83,100,2.73
60,Minas,UY,2022-07-03 04:59:24,-34.3759,-55.2377,38.41,82,3,1.97
61,Lebu,CL,2022-07-03 04:59:25,-37.6167,-73.65,47.05,79,20,5.5
62,Husavik,IS,2022-07-03 04:59:25,66.0449,-17.3389,43.41,98,100,12.97
63,Cap Malheureux,MU,2022-07-03 04:59:26,-19.9842,57.6142,74.46,60,89,10.0
64,Pochutla,MX,2022-07-03 04:59:26,15.7432,-96.4661,79.83,88,26,4.18
65,Orai,IN,2022-07-03 04:59:26,25.9833,79.4667,95.81,46,74,4.88
66,Ormara,PK,2022-07-03 04:59:27,25.2088,64.6357,85.8,79,63,8.97
67,Northam,GB,2022-07-03 04:59:27,51.0333,-4.2167,57.25,97,100,9.28
68,Salekhard,RU,2022-07-03 04:59:28,66.53,66.6019,51.35,57,99,16.8
69,Port Alfred,ZA,2022-07-03 04:59:28,-33.5906,26.891,58.17,89,23,1.01
70,Lensk,RU,2022-07-03 04:59:28,60.7253,114.9278,96.55,24,24,7.47
71,Kupang,ID,2022-07-03 04:59:29,-10.1667,123.5833,83.44,68,86,16.11
72,Dukat,RU,2022-07-03 04:59:29,62.55,155.55,46.38,90,100,3.8
73,Pokhara,NP,2022-07-03 04:55:22,28.2333,83.9833,83.07,73,94,4.88
74,Boddam,GB,2022-07-03 04:59:30,57.4667,-1.7833,52.43,84,98,7.99
75,Kiama,AU,2022-07-03 04:59:30,-34.6833,150.8667,61.25,83,100,3.0
76,Katsuura,JP,2022-07-03 04:59:31,35.1333,140.3,81.46,79,97,14.25
77,Avarua,CK,2022-07-03 04:59:31,-21.2078,-159.775,75.25,78,100,3.44
78,Alexandria,EG,2022-07-03 04:59:31,31.2156,29.9553,76.96,73,0,5.75
79,Bethel,US,2022-07-03 04:57:45,41.3712,-73.414,72.64,97,68,3.38
80,Muros,ES,2022-07-03 04:59:32,42.7762,-9.0603,65.08,80,8,14.23
81,Upernavik,GL,2022-07-03 04:59:33,72.7868,-56.1549,38.5,89,46,1.19
82,Necochea,AR,2022-07-03 04:57:11,-38.5473,-58.7368,39.04,55,0,10.38
83,Beringovskiy,RU,2022-07-03 04:59:33,63.05,179.3167,45.3,95,100,10.74
84,Semey,KZ,2022-07-03 04:59:33,50.4111,80.2275,77.22,22,0,6.71
85,Snezhnogorsk,RU,2022-07-03 04:59:34,69.1933,33.2531,71.38,57,7,15.28
86,Klyuchi,RU,2022-07-03 04:59:34,52.2667,79.1667,73.89,37,67,11.03
87,Ancud,CL,2022-07-03 04:59:35,-41.8697,-73.8203,43.23,78,100,17.87
88,Gazanjyk,TM,2022-07-03 04:59:35,39.2446,55.5154,84.96,32,31,13.0
89,Naze,JP,2022-07-03 05:00:36,28.3667,129.4833,78.3,85,94,18.52
90,Ahipara,NZ,2022-07-03 05:00:36,-35.1667,173.1667,55.38,69,11,4.41
91,Laguna,US,2022-07-03 05:00:37,38.421,-121.4238,65.32,75,0,13.8
92,Rio Gallegos,AR,2022-07-03 05:00:37,-51.6226,-69.2181,32.58,86,100,11.12
93,Puerto Ayora,EC,2022-07-03 05:00:38,-0.7393,-90.3518,69.55,91,40,3.0
94,Banjar,ID,2022-07-03 05:00:38,-8.19,114.9675,87.01,69,54,2.64
95,Sinnamary,GF,2022-07-03 05:00:39,5.3833,-52.95,76.95,88,100,8.23
96,Englewood,US,2022-07-03 04:58:13,39.6478,-104.9878,74.64,52,86,8.39
97,Karratha,AU,2022-07-03 05:00:40,-20.7377,116.8463,72.55,22,4,21.05
98,Kaniama,CD,2022-07-03 05:00:40,-7.5667,24.1833,63.3,59,1,3.69
99,Sangar,RU,2022-07-03 05:00:41,63.9242,127.4739,77.05,47,45,9.78
100,Cabo San Lucas,MX,2022-07-03 05:00:01,22.8909,-109.9124,83.61,67,1,1.99
101,Lompoc,US,2022-07-03 05:00:41,34.6391,-120.4579,57.52,83,100,21.0
102,Srednekolymsk,RU,2022-07-03 05:00:42,67.45,153.6833,66.63,29,2,13.56
103,Baykit,RU,2022-07-03 05:00:43,61.67,96.37,67.21,57,81,9.4
104,Tuktoyaktuk,CA,2022-07-03 05:00:43,69.4541,-133.0374,58.93,63,12,11.52
105,Torbay,CA,2022-07-03 05:00:44,47.6666,-52.7314,63.57,90,100,23.02
106,Pevek,RU,2022-07-03 05:00:44,69.7008,170.3133,32.54,97,100,7.43
